iter	Logloss
0	0.6866151102
1	0.6810053154
2	0.6742631305
3	0.6692252103
4	0.6643241592
5	0.6588307552
6	0.6528756678
7	0.6479528985
8	0.6427738295
9	0.6375495641
10	0.6324458891
11	0.6270971936
12	0.6219454824
13	0.617036512
14	0.6113270051
15	0.6058277215
16	0.6010538204
17	0.5962273234
18	0.5918245928
19	0.586806551
20	0.5809970121
21	0.576511888
22	0.5717766238
23	0.5674604463
24	0.5627700586
25	0.5576269467
26	0.5526415824
27	0.5482492909
28	0.5441248982
29	0.5403458782
30	0.5366638104
31	0.5324734229
32	0.5284612213
33	0.5252305977
34	0.5212265955
35	0.5173479433
36	0.5137274706
37	0.5099858475
38	0.5055173221
39	0.5016856262
40	0.4971913829
41	0.4942763342
42	0.4908536059
43	0.4868000076
44	0.4827597682
45	0.4788261604
46	0.4755600196
47	0.4725030622
48	0.4687893969
49	0.4652050413
50	0.4619419803
51	0.4594745361
52	0.4559799334
53	0.4523604207
54	0.4491857126
55	0.4455190836
56	0.4421474312
57	0.438646749
58	0.4360681936
59	0.4326027486
60	0.4296599422
61	0.426550229
62	0.423197455
63	0.4202308505
64	0.4170203453
65	0.4141604922
66	0.4112977194
67	0.4081806468
68	0.4052212016
69	0.4024035453
70	0.3990096546
71	0.3965048134
72	0.3935727661
73	0.3915642055
74	0.3887530686
75	0.386012486
76	0.3833471776
77	0.3807769815
78	0.3779073693
79	0.3749992401
80	0.3721917429
81	0.3703666477
82	0.3675798689
83	0.3655060334
84	0.3631642193
85	0.360647299
86	0.3580796228
87	0.3555418242
88	0.3535457826
89	0.351209048
90	0.348651971
91	0.3465548174
92	0.3447234028
93	0.3423922677
94	0.3399786993
95	0.3377745542
96	0.3354017425
97	0.3331879582
98	0.3309922525
99	0.3288741405
100	0.3271302589
101	0.3253646791
102	0.3234832484
103	0.3212636245
104	0.3190704986
105	0.3171311925
106	0.3152827792
107	0.3138587922
108	0.3121999038
109	0.3104383636
110	0.3084893183
111	0.3062956924
112	0.3045229331
113	0.3027420944
114	0.3010853459
115	0.2990882044
116	0.2974368754
117	0.2955659639
118	0.2939004961
119	0.2923826365
120	0.2909631492
121	0.2893872942
122	0.2877347454
123	0.2860484792
124	0.2845472583
125	0.2827425616
126	0.2811629869
127	0.2796597462
128	0.2782978143
129	0.2767162398
130	0.2752694746
131	0.2738037909
132	0.2720224923
133	0.2706675998
134	0.2693327458
135	0.2683672624
136	0.2670952833
137	0.2655039096
138	0.2642682677
139	0.2627431487
140	0.2614074147
141	0.2599532101
142	0.2586602927
143	0.2575720991
144	0.2566262941
145	0.2551513112
146	0.2537986785
147	0.2526482698
