iter	Passed	Remaining
0	47	47028
1	171	85519
2	344	114352
3	430	107291
4	480	95667
5	523	86695
6	563	79991
7	606	75153
8	654	72028
9	706	69948
10	776	69822
11	841	69279
12	918	69728
13	986	69492
14	1030	67651
15	1062	65329
16	1109	64172
17	1152	62900
18	1201	62051
19	1265	62011
20	1308	61000
21	1352	60135
22	1390	59046
23	1432	58257
24	1521	59352
25	1594	59739
26	1656	59679
27	1716	59593
28	1795	60127
29	1879	60762
30	1923	60122
31	1966	59476
32	2010	58924
33	2052	58318
34	2094	57751
35	2135	57177
36	2190	57002
37	2229	56435
38	2266	55855
39	2338	56120
40	2396	56044
41	2458	56071
42	2541	56561
43	2667	57952
44	2767	58723
45	2812	58323
46	2864	58073
47	2913	57777
48	2969	57639
49	3051	57979
50	3122	58102
51	3197	58284
52	3261	58277
53	3312	58024
54	3355	57660
55	3400	57318
56	3448	57046
57	3489	56670
58	3536	56408
59	3585	56175
60	3622	55760
61	3671	55546
62	3719	55315
63	3756	54938
64	3815	54888
65	3866	54711
66	3903	54351
67	3981	54570
68	4018	54216
69	4060	53944
70	4130	54048
71	4210	54264
72	4264	54154
73	4300	53816
74	4357	53736
75	4403	53533
76	4439	53219
77	4482	52980
78	4526	52765
79	4581	52682
80	4642	52669
81	4679	52393
82	4728	52245
83	4792	52257
84	4848	52196
85	4915	52241
86	4987	52342
87	5032	52157
88	5076	51967
89	5113	51704
90	5160	51546
91	5201	51335
92	5236	51070
93	5287	50959
94	5349	50957
95	5388	50737
96	5441	50660
97	5495	50577
98	5541	50430
99	5602	50418
100	5656	50346
101	5694	50137
102	5742	50008
103	5786	49852
104	5897	50273
105	5969	50342
106	6019	50238
107	6060	50052
108	6101	49873
109	6156	49811
110	6193	49600
111	6226	49365
112	6258	49128
113	6292	48905
114	6335	48758
115	6372	48565
116	6410	48380
117	6453	48236
118	6489	48042
119	6531	47896
120	6583	47823
121	6629	47712
122	6669	47556
123	6706	47380
124	6749	47249
125	6806	47211
126	6861	47164
127	6911	47086
128	6948	46916
129	6994	46810
130	7046	46741
131	7088	46611
132	7145	46581
133	7194	46498
134	7240	46389
135	7288	46301
136	7323	46130
137	7380	46101
138	7425	45996
139	7467	45872
140	7509	45748
141	7550	45619
142	7590	45488
143	7630	45361
144	7666	45207
145	7703	45057
146	7739	44908
147	7778	44780
148	7837	44760
149	7885	44686
150	7945	44672
151	7989	44572
152	8034	44476
153	8084	44410
154	8136	44359
155	8178	44246
156	8219	44132
157	8267	44059
158	8303	43920
159	8337	43770
160	8384	43693
161	8428	43597
162	8512	43709
163	8572	43696
164	8614	43592
165	8662	43522
166	8683	43312
167	8748	43323
168	8818	43359
169	8877	43345
170	8933	43311
171	8976	43212
172	9070	43359
173	9118	43288
174	9155	43160
175	9204	43095
176	9261	43065
177	9309	42991
178	9369	42973
179	9433	42976
180	9499	42983
181	9538	42871
182	9607	42894
183	9660	42842
184	9696	42717
185	9738	42618
